"﻿""Date""",Price,Open,High,Low,Vol.,Change %
11/14/2019,309.55,308.79,309.64,308.09,52.00M,0.15%
11/13/2019,309.10,307.91,309.54,307.66,54.46M,0.03%
11/12/2019,309.00,308.75,309.99,308.15,46.48M,0.21%
11/11/2019,308.35,307.42,308.54,307.27,35.93M,-0.19%
11/08/2019,308.94,307.80,309.00,307.03,49.07M,0.25%
11/07/2019,308.18,308.57,309.65,307.66,54.27M,0.35%
11/06/2019,307.10,307.03,307.40,306.06,46.49M,0.02%
11/05/2019,307.03,307.59,307.92,306.71,42.93M,-0.11%
11/04/2019,307.37,307.85,308.00,306.96,60.61M,0.40%
11/01/2019,306.14,304.92,306.19,304.74,71.14M,0.93%
10/31/2019,303.33,304.13,304.13,301.73,69.05M,-0.27%
10/30/2019,304.14,303.43,304.55,301.99,49.64M,0.31%
10/29/2019,303.21,303.00,304.23,302.86,44.28M,-0.03%
10/28/2019,303.30,302.94,303.85,302.91,42.15M,0.56%
10/25/2019,301.60,299.74,302.20,299.68,45.21M,0.41%
10/24/2019,300.37,300.91,301.07,299.46,35.86M,0.16%
10/23/2019,299.88,298.73,299.94,298.50,34.99M,0.29%
10/22/2019,299.01,300.58,300.90,298.91,49.13M,-0.33%
10/21/2019,299.99,299.42,300.21,298.94,39.46M,0.68%
10/18/2019,297.97,298.69,299.39,296.99,64.34M,-0.44%
10/17/2019,299.28,299.68,300.24,298.51,46.78M,0.29%
10/16/2019,298.40,298.37,299.16,297.92,50.56M,-0.16%
