"﻿""Date""",Price,Open,High,Low,Vol.,Change %
11/14/2019,309.55,308.79,309.64,308.09,52.00M,0.15%
11/13/2019,309.10,307.91,309.54,307.66,54.46M,0.03%
11/12/2019,309.00,308.75,309.99,308.15,46.48M,0.21%
11/11/2019,308.35,307.42,308.54,307.27,35.93M,-0.19%
11/08/2019,308.94,307.80,309.00,307.03,49.07M,0.25%
11/07/2019,308.18,308.57,309.65,307.66,54.27M,0.35%
11/06/2019,307.10,307.03,307.40,306.06,46.49M,0.02%
11/05/2019,307.03,307.59,307.92,306.71,42.93M,-0.11%
11/04/2019,307.37,307.85,308.00,306.96,60.61M,0.40%
11/01/2019,306.14,304.92,306.19,304.74,71.14M,0.93%
10/31/2019,303.33,304.13,304.13,301.73,69.05M,-0.27%
10/30/2019,304.14,303.43,304.55,301.99,49.64M,0.31%
10/29/2019,303.21,303.00,304.23,302.86,44.28M,-0.03%
10/28/2019,303.30,302.94,303.85,302.91,42.15M,0.56%
10/25/2019,301.60,299.74,302.20,299.68,45.21M,0.41%
10/24/2019,300.37,300.91,301.07,299.46,35.86M,0.16%
10/23/2019,299.88,298.73,299.94,298.50,34.99M,0.29%
10/22/2019,299.01,300.58,300.90,298.91,49.13M,-0.33%
10/21/2019,299.99,299.42,300.21,298.94,39.46M,0.68%
10/18/2019,297.97,298.69,299.39,296.99,64.34M,-0.44%
10/17/2019,299.28,299.68,300.24,298.51,46.78M,0.29%
10/16/2019,298.40,298.37,299.16,297.92,50.56M,-0.16%
10/15/2019,298.88,297.10,299.70,296.97,47.83M,0.99%
10/14/2019,295.95,295.93,296.67,295.57,40.55M,-0.11%
10/11/2019,296.28,296.27,298.74,296.14,101.23M,1.04%
10/10/2019,293.24,291.18,294.21,291.00,57.26M,0.68%
10/09/2019,291.27,290.75,292.30,288.66,65.71M,0.95%
10/08/2019,288.53,291.04,291.85,288.49,101.58M,-1.55%
10/07/2019,293.08,293.47,295.26,292.77,60.66M,-0.43%
10/04/2019,294.35,291.14,294.63,290.82,66.70M,1.35%
10/03/2019,290.42,287.81,290.45,284.82,85.91M,0.82%
10/02/2019,288.06,291.50,291.51,286.64,124.52M,-1.77%
10/01/2019,293.24,297.74,298.45,293.00,89.90M,-1.19%
09/30/2019,296.77,295.97,297.55,295.92,52.56M,0.46%
09/27/2019,295.40,297.83,297.95,293.69,84.78M,-0.54%
09/26/2019,297.00,297.63,297.86,295.45,58.72M,-0.21%
09/25/2019,297.62,295.96,298.11,294.33,73.43M,0.59%
09/24/2019,295.87,299.41,299.84,294.81,97.37M,-0.78%
09/23/2019,298.21,297.55,299.00,297.27,47.54M,-0.02%
09/20/2019,298.28,300.36,300.67,297.41,97.46M,-0.93%
09/19/2019,301.08,301.53,302.63,300.71,78.10M,-0.01%
09/18/2019,301.10,300.49,301.22,298.24,74.19M,0.06%
09/17/2019,300.92,299.94,301.02,299.75,42.90M,0.25%
09/16/2019,300.16,299.84,301.14,299.45,58.19M,-0.31%
09/13/2019,301.09,301.78,302.17,300.68,62.10M,-0.07%
09/12/2019,301.29,301.25,302.46,300.41,72.91M,0.35%
09/11/2019,300.25,298.47,300.34,297.75,68.82M,0.71%
09/10/2019,298.13,297.36,298.20,295.97,57.95M,-0.02%
09/09/2019,298.20,299.14,299.24,297.16,51.26M,0.05%
